iter	Passed	Remaining
0	37	379183
1	64	324367
2	90	303182
3	120	302064
4	157	315342
5	202	337596
6	227	325423
7	251	314047
8	274	305120
9	297	297219
10	319	290183
11	343	286098
12	367	282139
13	390	278350
14	412	274750
15	436	272117
16	458	269254
17	483	267960
18	505	265683
19	529	263991
20	551	261852
21	572	259696
22	595	258430
23	618	256885
24	656	262067
25	681	261374
26	715	264297
27	728	259552
28	751	258517
29	775	257804
30	798	256933
31	823	256644
32	849	256694
33	876	256828
34	903	257166
35	942	260877
36	967	260640
37	994	260733
38	1019	260372
39	1044	260191
40	1071	260260
41	1095	259731
42	1118	259073
43	1142	258586
44	1167	258184
45	1191	257794
46	1213	257028
47	1252	259687
48	1276	259266
49	1301	258982
50	1326	258690
51	1349	258206
52	1372	257679
53	1396	257268
54	1421	257034
55	1445	256659
56	1469	256282
57	1493	256003
58	1516	255534
59	1539	255120
60	1565	255120
61	1587	254509
62	1613	254461
63	1638	254383
64	1661	253957
65	1684	253493
66	1706	252961
67	1729	252634
68	1752	252243
69	1776	251964
70	1798	251574
71	1822	251258
72	1845	251005
73	1869	250753
74	1893	250510
75	1919	250607
76	1933	249124
77	1955	248800
78	1978	248514
79	2003	248432
80	2025	248029
81	2042	247086
82	2065	246786
83	2089	246683
84	2113	246552
85	2138	246507
86	2161	246299
87	2182	245872
88	2203	245429
89	2228	245389
90	2251	245126
91	2276	245162
92	2299	245005
93	2322	244772
94	2344	244423
95	2367	244297
96	2391	244132
97	2415	244060
98	2437	243773
99	2460	243561
100	2482	243283
101	2505	243151
102	2559	245933
103	2584	245918
104	2607	245767
105	2633	245809
106	2659	245850
107	2682	245727
108	2706	245584
109	2729	245393
110	2751	245171
111	2776	245102
112	2798	244892
113	2823	244822
114	2845	244564
115	2868	244399
116	2892	244303
117	2916	244260
118	2939	244107
119	2961	243834
120	2985	243713
121	3007	243514
122	3030	243370
123	3053	243174
124	3077	243128
125	3100	242962
126	3123	242810
127	3146	242666
128	3169	242497
129	3191	242272
130	3215	242267
131	3239	242200
132	3265	242268
133	3290	242252
134	3314	242196
135	3336	241993
136	3359	241857
137	3382	241693
138	3406	241656
139	3428	241447
140	3451	241321
141	3473	241152
142	3497	241093
143	3520	240936
144	3542	240780
145	3566	240743
146	3590	240629
147	3612	240475
148	3634	240303
149	3657	240154
150	3693	240911
151	3720	241036
152	3744	241019
153	3768	240935
154	3792	240896
155	3804	240066
156	3826	239914
157	3850	239857
158	3872	239707
159	3896	239612
160	3918	239450
161	3941	239346
162	3966	239353
163	3988	239208
164	4013	239207
165	4036	239103
166	4058	238991
167	4082	238934
168	4105	238848
169	4130	238840
170	4154	238776
171	4177	238721
172	4210	239143
173	4234	239112
174	4272	239875
175	4297	239855
176	4319	239728
177	4340	239527
178	4363	239404
179	4386	239283
180	4410	239255
181	4433	239167
182	4455	239016
183	4479	238995
184	4503	238934
185	4528	238919
186	4550	238778
187	4572	238645
188	4598	238683
189	4625	238813
190	4647	238682
191	4669	238536
192	4693	238503
193	4720	238627
194	4744	238543
195	4766	238411
196	4788	238305
197	4811	238193
198	4835	238172
199	4859	238091
200	4877	237808
201	4902	237796
202	4928	237876
203	4955	237964
204	5005	239156
205	5031	239195
206	5064	239579
207	5086	239452
208	5111	239457
209	5133	239334
210	5157	239296
211	5181	239228
212	5205	239193
213	5229	239156
214	5254	239122
215	5279	239150
216	5301	239021
217	5322	238835
218	5346	238795
219	5370	238749
220	5395	238729
221	5417	238616
222	5440	238549
223	5462	238415
224	5486	238355
225	5508	238216
226	5531	238136
227	5555	238102
228	5577	237984
229	5610	238325
230	5633	238223
231	5689	239552
232	5718	239691
233	5745	239792
234	5767	239662
235	5792	239664
236	5814	239513
237	5837	239418
238	5860	239363
239	5884	239321
240	5906	239188
241	5929	239072
242	5953	239043
243	5977	238994
244	5999	238894
245	6025	238909
246	6047	238809
247	6071	238760
248	6094	238683
249	6131	239110
250	6153	239019
251	6177	238970
252	6223	239745
253	6249	239801
254	6275	239834
255	6299	239768
256	6323	239732
257	6346	239638
258	6366	239452
259	6389	239364
260	6412	239271
261	6436	239220
262	6460	239170
263	6485	239166
264	6507	239050
265	6531	239003
266	6554	238916
267	6579	238924
268	6603	238877
269	6627	238851
270	6650	238769
271	6672	238629
272	6695	238544
273	6716	238406
274	6739	238338
275	6762	238238
276	6784	238129
277	6809	238147
278	6834	238116
279	6858	238095
280	6871	237676
281	6894	237598
282	6917	237505
283	6940	237439
284	6963	237370
285	6987	237325
286	7004	237049
287	7029	237042
288	7051	236944
289	7074	236861
290	7096	236782
291	7121	236755
292	7143	236671
293	7168	236648
294	7191	236585
295	7216	236597
296	7241	236569
297	7269	236687
298	7294	236684
299	7317	236600
300	7340	236531
301	7363	236473
302	7389	236487
303	7420	236679
304	7448	236753
305	7470	236664
306	7494	236624
307	7515	236504
308	7540	236473
309	7562	236392
310	7587	236393
311	7612	236390
312	7635	236321
313	7657	236219
314	7680	236139
315	7695	235834
316	7719	235811
317	7742	235739
318	7767	235719
319	7790	235673
320	7813	235592
321	7836	235548
322	7860	235497
323	7886	235530
324	7911	235511
325	7935	235490
326	7957	235402
327	7968	234967
328	7990	234872
329	8013	234810
330	8037	234774
331	8059	234688
332	8080	234566
333	8102	234488
334	8124	234406
335	8148	234366
336	8178	234509
337	8204	234538
338	8229	234518
339	8258	234643
340	8285	234696
341	8309	234654
342	8332	234600
343	8352	234454
344	8375	234390
345	8385	233981
346	8409	233937
347	8432	233886
348	8457	233868
349	8480	233817
350	8503	233771
351	8527	233731
352	8553	233765
353	8565	233401
354	8588	233335
355	8613	233342
356	8636	233287
357	8661	233269
358	8691	233424
359	8717	233436
360	8741	233413
361	8766	233401
362	8789	233344
363	8813	233306
364	8835	233241
365	8857	233157
366	8884	233195
367	8907	233154
368	8933	233178
369	8957	233140
370	8981	233111
371	9003	233020
372	9027	232994
373	9050	232946
374	9087	233250
375	9111	233203
376	9134	233168
377	9156	233080
378	9179	233023
379	9204	233027
380	9228	232981
381	9255	233043
382	9282	233085
383	9307	233070
384	9330	233012
385	9351	232920
386	9376	232902
387	9401	232893
388	9424	232855
389	9448	232826
390	9471	232765
391	9494	232724
392	9531	233008
393	9557	233025
394	9582	233002
395	9607	233007
396	9631	232981
397	9654	232929
398	9688	233127
399	9714	233154
400	9740	233167
401	9766	233184
402	9792	233186
403	9840	233744
404	9864	233712
405	9887	233655
406	9913	233652
407	9937	233616
408	9960	233574
409	9983	233507
410	10008	233514
411	10034	233524
412	10059	233500
413	10083	233475
414	10108	233461
415	10131	233407
416	10154	233349
417	10177	233311
418	10201	233273
419	10223	233199
420	10263	233531
421	10291	233572
422	10315	233543
423	10338	233499
424	10352	233231
425	10377	233219
426	10401	233183
427	10425	233160
428	10448	233098
429	10473	233087
430	10497	233064
431	10520	233010
432	10545	233004
433	10569	232976
434	10595	232987
435	10617	232911
436	10641	232878
437	10664	232822
438	10687	232759
439	10710	232717
440	10733	232663
441	10757	232631
442	10780	232574
443	10802	232496
444	10825	232444
445	10847	232377
446	10872	232359
447	10898	232361
448	10922	232336
449	10946	232309
450	10970	232273
451	10995	232268
452	11020	232261
453	11045	232256
454	11069	232209
455	11091	232149
456	11114	232096
457	11152	232361
458	11171	232218
459	11195	232183
460	11219	232157
461	11244	232134
462	11272	232189
463	11299	232214
464	11320	232136
465	11341	232047
466	11367	232042
467	11391	232015
468	11415	231994
469	11439	231960
470	11464	231948
471	11488	231907
472	11512	231890
473	11536	231856
