iter	Recall	CrossEntropy
0	0.3216526065	0.6925916292
50	0.330088687	0.666126476
100	0.330088687	0.6425140174
150	0.330088687	0.6212523403
200	0.330088687	0.6024300255
250	0.330088687	0.5856214779
300	0.330088687	0.5705850328
350	0.330088687	0.5572605253
400	0.330088687	0.5453228112
450	0.330088687	0.534693296
500	0.330088687	0.5250845876
550	0.330088687	0.5165413579
600	0.330088687	0.5089515871
650	0.330088687	0.5021094281
700	0.330088687	0.4959584747
750	0.330088687	0.4903719372
800	0.330088687	0.4849371712
850	0.330088687	0.4801184053
900	0.330088687	0.4757796562
950	0.330088687	0.4718446696
1000	0.330088687	0.468319394
1050	0.330088687	0.4651598109
1100	0.330088687	0.4621599368
1150	0.330088687	0.4594676831
1200	0.330088687	0.4568822192
1250	0.330088687	0.4545579145
1300	0.330088687	0.4524389278
1350	0.3305213065	0.4505197652
1400	0.3305213065	0.4487667708
1450	0.3307376163	0.4472197882
1500	0.3311702358	0.4457737802
1550	0.3322517846	0.4443962619
1600	0.3361453602	0.4431350628
1650	0.3393900065	0.441964382
1700	0.3434998918	0.4408828639
1750	0.3465282284	0.4399169522
1800	0.3499891845	0.4389954911
1850	0.351287043	0.4381779283
1900	0.3528012113	0.4374144203
1950	0.3547479991	0.4366940237
2000	0.3562621674	0.4360159104
2050	0.3571274064	0.4354033834
2100	0.358425265	0.4348073505
2150	0.3588578845	0.43428989
2200	0.3597231235	0.4337825312
2250	0.3603720528	0.433302141
2300	0.3605883625	0.4328618942
2350	0.3614536016	0.4324462164
2400	0.3621025308	0.4320377393
2450	0.3627514601	0.4316495151
2500	0.3636166991	0.431259852
2550	0.3636166991	0.4309297438
2600	0.3638330089	0.4305906569
2650	0.3638330089	0.4302559334
2700	0.3642656284	0.4299429256
2750	0.3640493186	0.4296452971
2800	0.3644819381	0.4293720719
2850	0.3651308674	0.4291021937
2900	0.3653471772	0.4288256096
2950	0.3653471772	0.4285696652
3000	0.3657797967	0.4283030033
3050	0.3657797967	0.4280659823
3100	0.3659961064	0.4278275878
3150	0.3662124162	0.4275908534
3200	0.3659961064	0.4273689038
3250	0.3657797967	0.4271441374
3300	0.3657797967	0.4269155064
3350	0.3662124162	0.4267111342
3400	0.3664287259	0.4265136361
3450	0.3666450357	0.4263116348
3500	0.3668613454	0.4261105863
3550	0.3668613454	0.4259151013
3600	0.3670776552	0.4257185185
3650	0.3668613454	0.4255295915
3700	0.3670776552	0.4253610493
3750	0.3670776552	0.4251961365
3800	0.3670776552	0.4250301179
3850	0.3675102747	0.4248572111
3900	0.3679428942	0.4246801299
3950	0.3679428942	0.4245208485
4000	0.368159204	0.4243745928
4050	0.3685918235	0.4242232327
4100	0.3685918235	0.4240739673
4150	0.3685918235	0.423924028
4200	0.369024443	0.4237865778
4250	0.3694570625	0.4236145985
4300	0.3694570625	0.423468782
4350	0.3696733723	0.4233367657
4400	0.369889682	0.4232061748
4450	0.3701059918	0.4230718658
4500	0.3705386113	0.42294724
4550	0.3711875406	0.422814332
4600	0.3714038503	0.4226893394
4650	0.3714038503	0.4225649126
4700	0.3711875406	0.4224577669
4750	0.3716201601	0.4223291736
4800	0.3716201601	0.4222106653
4850	0.3716201601	0.4221002089
4900	0.3718364698	0.421993846
4950	0.3720527796	0.4218824475
5000	0.3720527796	0.4217652823
5050	0.3727017088	0.4216489042
5100	0.3731343284	0.4215468187
5150	0.3733506381	0.4214372547
5200	0.3733506381	0.4213238027
5250	0.3735669479	0.4212156711
5300	0.3735669479	0.4211106624
5350	0.3739995674	0.4210093783
5400	0.3742158771	0.4209038165
5450	0.3744321869	0.4207969101
5500	0.3744321869	0.4206928462
5550	0.3748648064	0.4206016123
5600	0.3750811162	0.4204939004
5650	0.3750811162	0.4204070247
5700	0.3752974259	0.4203186264
5750	0.3755137357	0.4202326239
5800	0.3755137357	0.4201444672
5850	0.3755137357	0.4200540223
5900	0.3755137357	0.4199589079
5950	0.3755137357	0.4198720742
6000	0.3755137357	0.4197822806
6050	0.3755137357	0.4196901704
6100	0.3759463552	0.4196073671
6150	0.3761626649	0.4195101659
6200	0.3761626649	0.4194286727
6250	0.3763789747	0.4193376917
6300	0.3763789747	0.4192476372
6350	0.3763789747	0.4191624219
6400	0.3763789747	0.4190781619
6450	0.3763789747	0.4190055064
6500	0.3765952844	0.4189300586
6550	0.3765952844	0.4188340506
6600	0.3765952844	0.4187579965
6650	0.3765952844	0.4186854434
6700	0.3765952844	0.4186011594
6750	0.3763789747	0.4185209011
6800	0.3763789747	0.4184602784
6850	0.3765952844	0.4183867127
6900	0.3768115942	0.4183159438
6950	0.3768115942	0.4182341704
7000	0.377027904	0.4181588956
7050	0.377027904	0.4180769059
7100	0.3772442137	0.4180070635
7150	0.377893143	0.417929279
7200	0.377893143	0.4178639714
7250	0.377893143	0.4177866422
7300	0.377893143	0.4177145846
7350	0.377893143	0.4176479169
7400	0.377893143	0.417576181
7450	0.3781094527	0.4175056947
7500	0.3781094527	0.4174360514
7550	0.3783257625	0.4173529056
7600	0.378758382	0.4172754792
7650	0.3785420722	0.4172070836
7700	0.378758382	0.417136231
7750	0.3785420722	0.4170679183
7800	0.3785420722	0.417002252
7850	0.378758382	0.4169259
7900	0.3789746918	0.4168578623
7950	0.3794073113	0.416787209
8000	0.3794073113	0.41670961
8050	0.3791910015	0.4166384656
8100	0.3789746918	0.4165649574
8150	0.3798399308	0.4164998621
8200	0.3798399308	0.416433685
8250	0.3800562405	0.4163523357
8300	0.3800562405	0.4162821671
8350	0.3800562405	0.4162112628
8400	0.3798399308	0.4161336138
8450	0.3800562405	0.4160680429
8500	0.3802725503	0.4160013597
8550	0.3802725503	0.4159297418
8600	0.38048886	0.415859415
8650	0.38048886	0.4157859685
8700	0.38048886	0.4157090629
8750	0.3802725503	0.4156466447
8800	0.3802725503	0.4155811113
8850	0.38048886	0.4155097411
8900	0.3807051698	0.4154370847
8950	0.3807051698	0.4153688718
9000	0.38048886	0.4152996686
9050	0.38048886	0.4152202927
9100	0.3802725503	0.4151505617
9150	0.38048886	0.4150745602
9200	0.3809214796	0.4150053484
9250	0.3809214796	0.4149310808
9300	0.3809214796	0.414860015
9350	0.3811377893	0.4147976872
9400	0.3815704088	0.4147260882
